date,merchant,category,amount,currency
2025-12-01,Balzac's Coffee,food.coffee,-7.07,USD
2025-12-01,Direct Deposit,income.salary,2400.00,USD
2025-12-01,Emergency Fund Transfer,savings.emergency_fund,-115.00,USD
2025-12-01,Maple Leaf Apartments,housing.rent,-1725.00,USD
2025-12-01,TTC,transport.transit,-3.35,USD
2025-12-02,TTC,transport.transit,-3.35,USD
2025-12-03,Netflix,subscriptions.streaming,-17.99,USD
2025-12-03,No Frills,food.groceries,-85.82,USD
2025-12-03,TTC,transport.transit,-3.35,USD
2025-12-03,Tim Hortons,food.coffee,-8.34,USD
2025-12-04,TTC,transport.transit,-3.35,USD
2025-12-05,TTC,transport.transit,-3.35,USD
2025-12-05,Tim Hortons,food.coffee,-5.68,USD
2025-12-05,Uber Eats,food.delivery,-31.60,USD
2025-12-06,Amazon,shopping.amazon,-27.89,USD
2025-12-08,Balzac's Coffee,food.coffee,-7.28,USD
2025-12-08,Spotify,subscriptions.streaming,-11.99,USD
2025-12-08,TTC,transport.transit,-3.35,USD
2025-12-09,TTC,transport.transit,-3.35,USD
2025-12-10,Loblaws,food.groceries,-70.23,USD
2025-12-10,Starbucks,food.coffee,-7.77,USD
2025-12-10,TTC,transport.transit,-3.35,USD
2025-12-11,TTC,transport.transit,-3.35,USD
2025-12-12,Notion,subscriptions.software,-10.00,USD
2025-12-12,TTC,transport.transit,-3.35,USD
2025-12-12,Tim Hortons,food.coffee,-8.52,USD
2025-12-12,Uber Eats,food.delivery,-28.38,USD
2025-12-15,Balzac's Coffee,food.coffee,-8.43,USD
2025-12-15,Direct Deposit,income.salary,2400.00,USD
2025-12-15,Emergency Fund Transfer,savings.emergency_fund,-115.00,USD
2025-12-15,TTC,transport.transit,-3.35,USD
2025-12-16,TTC,transport.transit,-3.35,USD
2025-12-17,FreshCo,food.groceries,-60.92,USD
2025-12-17,TTC,transport.transit,-3.35,USD
2025-12-17,Tim Hortons,food.coffee,-6.77,USD
2025-12-18,TTC,transport.transit,-3.35,USD
2025-12-19,DoorDash,food.delivery,-27.89,USD
2025-12-19,TTC,transport.transit,-3.35,USD
2025-12-19,Tim Hortons,food.coffee,-7.33,USD
2025-12-20,GoodLife Fitness,health.gym,-34.99,USD
2025-12-22,Amazon,shopping.amazon,-39.04,USD
2025-12-22,Starbucks,food.coffee,-6.51,USD
2025-12-22,TTC,transport.transit,-3.35,USD
2025-12-23,TTC,transport.transit,-3.35,USD
2025-12-24,Loblaws,food.groceries,-81.70,USD
2025-12-24,Starbucks,food.coffee,-5.56,USD
2025-12-24,TTC,transport.transit,-3.35,USD
2025-12-25,TTC,transport.transit,-3.35,USD
2025-12-26,TTC,transport.transit,-3.35,USD
2025-12-26,Tim Hortons,food.coffee,-7.41,USD
2025-12-26,Uber Eats,food.delivery,-28.66,USD
2025-12-29,TTC,transport.transit,-3.35,USD
2025-12-29,Tim Hortons,food.coffee,-7.00,USD
2025-12-30,TTC,transport.transit,-3.35,USD
2025-12-31,No Frills,food.groceries,-82.99,USD
2025-12-31,TTC,transport.transit,-3.35,USD
2025-12-31,Tim Hortons,food.coffee,-6.56,USD
2026-01-01,Direct Deposit,income.salary,2400.00,USD
2026-01-01,Emergency Fund Transfer,savings.emergency_fund,-115.00,USD
2026-01-01,Maple Leaf Apartments,housing.rent,-1725.00,USD
2026-01-01,TTC,transport.transit,-3.35,USD
2026-01-02,Bar Raval,entertainment,-52.49,USD
2026-01-02,DoorDash,food.delivery,-37.88,USD
2026-01-02,TTC,transport.transit,-3.35,USD
2026-01-02,Tim Hortons,food.coffee,-7.83,USD
2026-01-02,Uber,transport.rideshare,-26.73,USD
2026-01-03,Netflix,subscriptions.streaming,-17.99,USD
2026-01-05,Starbucks,food.coffee,-8.27,USD
2026-01-05,TTC,transport.transit,-3.35,USD
2026-01-06,Amazon,shopping.amazon,-65.46,USD
2026-01-06,TTC,transport.transit,-3.35,USD
2026-01-07,Loblaws,food.groceries,-64.13,USD
2026-01-07,Starbucks,food.coffee,-6.62,USD
2026-01-07,TTC,transport.transit,-3.35,USD
2026-01-08,Spotify,subscriptions.streaming,-11.99,USD
2026-01-08,TTC,transport.transit,-3.35,USD
2026-01-09,TTC,transport.transit,-3.35,USD
2026-01-09,Tim Hortons,food.coffee,-7.75,USD
2026-01-09,Uber Eats,food.delivery,-30.96,USD
2026-01-12,Notion,subscriptions.software,-10.00,USD
2026-01-12,TTC,transport.transit,-3.35,USD
2026-01-12,Tim Hortons,food.coffee,-5.66,USD
2026-01-13,TTC,transport.transit,-3.35,USD
2026-01-14,Balzac's Coffee,food.coffee,-6.57,USD
2026-01-14,FreshCo,food.groceries,-71.93,USD
2026-01-14,TTC,transport.transit,-3.35,USD
2026-01-15,Direct Deposit,income.salary,2400.00,USD
2026-01-15,Emergency Fund Transfer,savings.emergency_fund,-115.00,USD
2026-01-15,TTC,transport.transit,-3.35,USD
2026-01-16,DoorDash,food.delivery,-32.65,USD
2026-01-16,TTC,transport.transit,-3.35,USD
2026-01-16,The Rec Room,entertainment,-34.15,USD
2026-01-16,Tim Hortons,food.coffee,-7.89,USD
2026-01-16,Uber,transport.rideshare,-34.53,USD
2026-01-19,Starbucks,food.coffee,-6.96,USD
2026-01-19,TTC,transport.transit,-3.35,USD
2026-01-20,GoodLife Fitness,health.gym,-34.99,USD
2026-01-20,TTC,transport.transit,-3.35,USD
