date,merchant,category,amount,currency
2025-12-01,Balzac's Coffee,food.coffee,-7.07,USD
2025-12-01,Direct Deposit,income.salary,2400.00,USD
2025-12-01,Emergency Fund Transfer,savings.emergency_fund,-115.00,USD
2025-12-01,Maple Leaf Apartments,housing.rent,-1725.00,USD
2025-12-01,TTC,transport.transit,-3.35,USD
2025-12-02,TTC,transport.transit,-3.35,USD
2025-12-03,Netflix,subscriptions.streaming,-17.99,USD
2025-12-03,No Frills,food.groceries,-85.82,USD
2025-12-03,TTC,transport.transit,-3.35,USD
2025-12-03,Tim Hortons,food.coffee,-8.34,USD
2025-12-04,TTC,transport.transit,-3.35,USD
2025-12-05,TTC,transport.transit,-3.35,USD
2025-12-05,Tim Hortons,food.coffee,-5.68,USD
2025-12-05,Uber Eats,food.delivery,-31.60,USD
2025-12-06,Amazon,shopping.amazon,-27.89,USD
2025-12-08,Balzac's Coffee,food.coffee,-7.28,USD
2025-12-08,Spotify,subscriptions.streaming,-11.99,USD
2025-12-08,TTC,transport.transit,-3.35,USD
2025-12-09,TTC,transport.transit,-3.35,USD
2025-12-10,Loblaws,food.groceries,-70.23,USD
2025-12-10,Starbucks,food.coffee,-7.77,USD
2025-12-10,TTC,transport.transit,-3.35,USD
2025-12-11,TTC,transport.transit,-3.35,USD
2025-12-12,Notion,subscriptions.software,-10.00,USD
2025-12-12,TTC,transport.transit,-3.35,USD
2025-12-12,Tim Hortons,food.coffee,-8.52,USD
2025-12-12,Uber Eats,food.delivery,-28.38,USD
2025-12-15,Balzac's Coffee,food.coffee,-8.43,USD
2025-12-15,Direct Deposit,income.salary,2400.00,USD
2025-12-15,Emergency Fund Transfer,savings.emergency_fund,-115.00,USD
